,input,output
6790,((p→(¬t))(¬t))⊢(t∨(¬t)),(s∨(¬q))(¬p)((∨((q)))()
6791,(((r→r)∧s)t)⊢(t∧(r→r)),((t→t)∧t)s(s→t)(t∧(t→s))
6792,(p(t→s))⊢((t→s)∨p),t(s→r)(t∨()→())((∨→))∨)
6793,(q(p∨q))⊢(q∨t),q(s∨r)(r∧()∨))(∨)
6794,((t→s)t)⊢(p∨t),(s→s)q((∨→))∨))
6795,(((r∨s)→t)s)⊢(s∨q),((q∨p)→r)s((∨r)()∨)
6796,(p((p→r)→p))⊢(p∨q),q((q→p)→r)(s∨()(→∨))
6797,((¬t)t)⊢⊥,(¬p)s⊥⊥
6798,(r(r∨r))⊢(s∨r),q(s∨r)(r∧()∨))(∨)
6799,(((t∧s)∧q)((q→q)∨r))⊢(p∨((t∧s)∧q)),((p∧p)∧q)((p∧t)→t)((∨(((∧∧)∧∧))((∧)∧
6800,((q∧r)(t∨r))⊢(r∨q),(q∧p)(p∨p)((s∨q)
6801,(((t∨r)∧s)((p→q)∧r))⊢(((p→q)∧r)∨s),((q∨p)∧q)((p→t)∧t)((((∧(((q)∨)))(∧
6802,((r→q)(t∧s))⊢(t∧s),(s→s)(s∧p)((s→p)∧(t∧p))(s∧p)
6803,(r((s→p)∧r))⊢(r→r),q((q→p)∧p)t(q→p)
6804,((s∨r)(t→t))⊢((s∨r)∨p),(q∨s)(p→p)((∨∨p)∨))((r∨p)∨p)
6805,((t∧(t∨p))q)⊢(p∨(t∧(t∨p))),(q∧(p∨s))s((∨∧(r∨∨))∧))(∨()∧(∨)))
6806,(r((¬q)→p))⊢(((¬q)→p)∧(r→((¬q)→p))),q((¬s)→s)(((((¬s))∨q)(((¬(¬∨))∧(((((¬q))s)))
6807,(p((s→t)∨q))⊢p,p((q→p)∨s)(s∧((s→r)∨s))s
6808,((q∧(s→t))(q∨t))⊢(s→t),(r→(p→q))(p∨s)((s∧(q→q))∧(q→p))(s→q)
6809,((t∧(¬p))q)⊢(r∨(q∨s)),(s∧(¬q))s(s∨t)(t∨(p∨q))
6810,(((p∨t)∨s)q)⊢(q→(q∨q)),((q∨p)∨s)s(t∨s)(t→(t∨p))
6811,((s∨(q∧r))((p∨r)∨t))⊢(p∨(s∨(q∧r))),(s∨(p∨q))((p→s)∨s)((∨((→(s)))))(∨(s→(p→r)))
6812,(s(¬r))⊢(r∨s),s(¬s)(s∨(¬))
6813,(((r→t)→q)((r∧t)∨p))⊢(q∨((r→t)→q)),((t→t)∧q)((p→t)∨t)(((((r)∨)→p))(∨((r→r)∨r))
6814,((r∨(p∨t))s)⊢(s∨t),(t∨(p∨s))s((∨∨)(∨∨)
6815,(t(p→t))⊢(p→t),q(r→p)(r∧(r→s))(r→p)
6816,(q(r→(s→t)))⊢(t∨(q∨s)),r(r→(p→p))(q∨p)(s∨(q∨s))
6817,((t∧(q∧p))t)⊢(t∨r),(r∧(p∧t))s((∨∨))
6818,((p∨p)(p∧p))⊢((p∧p)∨r),(q∨s)(p∧s)((∨∨p)∨))((∧)∨)
6819,((¬r)((r∨s)∧r))⊢⊥,(¬p)((s→q)∧q)p
6820,((q∨(¬q))p)⊢(q∨(q∨(¬q))),(s∨(¬q))s((∨((¬(¬))))(∨((¬)))
6821,(((t∨s)∨t)r)⊢((r∨s)∨t),((q∨p)∨s)s(((t∨((∨∨))∨))
6822,((s∧p)q)⊢(p∨((s∧p)∨q)),(r∧q)q((p∧p)∨s)(s∨((q∧q)∨s))
6823,((r→p)(r∧q))⊢p,(s→p)(s∧s)s
6824,((¬s)((t∨s)∧t))⊢((¬s)→t),(¬p)((s→r)∧s)s((¬q)∧r)
6825,((p∧(¬r))s)⊢((p∧(¬r))∨t),(s∧(¬q))s((t∧(¬())∨q)(
6826,((¬q)((p→q)∧r))⊢((¬q)∧((p→q)∧r)),(¬p)((s→s)∧s)((¬p)∧((s→s)∧s))
6827,(((¬r)∧s)s)⊢(t∨((¬r)∧s)),((¬r)∧q)s((∨¬(¬∨))∧¬))∧)
6828,((r∧q)(q∨p))⊢((q∨p)→r),(q∧p)(p∨s)p((t∨p)→q)
6829,((s∨s)t)⊢(q∨t),(s∨p)p((∨∨)))(
6830,((¬s)s)⊢((p∨(¬s))∨q),(¬p)p(t∨(¬s))((q∨(¬t))∨s)
6831,((t→r)(q→r))⊢(((q→r)∨t)∨q),(q→s)(p→p)((s→p)∨p)(((t→p)∨t)∨t)
6832,(s((q∧q)∨p))⊢((t∨s)∨q),p((p∧t)∨s)(s∨p)((q∨t)∨s)
6833,((s∨t)r)⊢((s∨t)∧((s∨t)∨s)),(q∨p)p((t∨s)∨s)((t∨s)∧((p∨s)∨s))
6834,((t→s)t)⊢(t→(s∨t)),(t→s)p(p∨p)(q→(q∨q))
6835,(q(r∧t))⊢((q∧(r∧t))∨q),p(q∧p)(p∧(t∧s))((p∧(r∧s))∨t)
6836,(s(r∨s))⊢(t∨(r∨s)),t(s∨r)(t∨()(t∨((∨∨))
6837,((r∧(s∨s))((p∧r)∧q))⊢(t∨(r∧(s∨s))),(r∧(p∧q))((p∧t)∧s)((∨((∧∧s)))))((∧)
6838,((t∧p)((r→s)→r))⊢(q∨t),(q∧p)((p→t)∧t)r(q∨p)
6839,(((r→r)∧s)t)⊢(q∨t),((t→t)∧t)s((∨∨)))
6840,(((r→q)→r)s)⊢(s→(p∨s)),((t→t)→p)s(s∨s)(t→(t∨q))
6841,((r∧s)(¬p))⊢(p∨(¬p)),(s∧q)(¬p)((∨(¬∧)))
6842,((p→(r∨t))(q∨s))⊢(t∨((q∨s)∨s)),(r→(p∨q))(p∨p)((q∨p)∨s)(p∨((s∨s)∨p))
6843,(r(q∨q))⊢r,q(s∨r)(q∧(q∨r))q
6844,(t(q∧t))⊢t,q(s∧q)(
6845,((q∨q)r)⊢((q∨q)∨t),(t∨q)q((∨∨)((t∨()∨∨)
6846,(r(q∧t))⊢(p∨r),q(s∧p)((∨∨))
6847,(q(r→r))⊢(r∨q),q(t→s)(t∨()→))(∨)
6848,((p∧t)(s∧t))⊢((p∧t)∧s),(r∧q)(s∧t)q((p∧p)∧q)
6849,(r(s∧q))⊢(r∨t),q(s∧q)((∨∨))
6850,(r(p∨t))⊢((p∨t)∨p),t(q∨r)((∨∨)((r∨()∨∨)
6851,(((t∧t)∧q)s)⊢(((t∧t)∧q)∧s),((s∧t)∧q)s(((t∧q)∧p)→s)
6852,((¬s)(p∧t))⊢((¬s)∧(p∧t)),(¬p)(p∧t)((¬p)→(s∧p))
6853,(s(q→q))⊢(p∨(q→q)),t(s→r)(t∨(s→p))(∨(→))
6854,((p→t)p)⊢(t∨(p∨r)),(t→s)p(p∨p)(t∨(q∨q))
6855,(t(s∨(t∧p)))⊢(t∨r),q(r∨(r∧p))(r∨())
6856,((¬s)(s∨(r∧q)))⊢((¬s)∨t),(¬s)(s∨(r→s))((¬()∨()((¬)∨)
6857,((q∨q)p)⊢(r∨(q∨q)),(t∨p)p(p∨()(t∨((∨∨))
6858,((p→q)(s∧p))⊢((p→q)→s),(s→s)(s∧s)t((t→t)→q)
6859,((r∨(t∨p))(p∨q))⊢((r∨(t∨p))→(p∨q)),(s∨(p∨q))(p→s)((s∨(p→s))→(s∨s))
6860,(q(r∨t))⊢((r∨t)∨r),t(s∨r)((∨∨)((r∨()∨∨)
6861,(t(s→q))⊢(s∨t),q(s→s)(q∨()→))(∨)
6862,((¬p)(t∧s))⊢(t∨(t∧s)),(¬p)(p∧t)((∨((∧∧)))
6863,((s→s)(r→p))⊢((s→s)∨q),(s→s)(p→p)((∨→s)∨))((r→)∨→)
6864,((q∨p)(¬p))⊢((¬p)→((¬p)∨r)),(s∨q)(¬p)((¬p)∨p)((¬p)∧((¬p)∨s))
6865,((r→(q→s))(t∨r))⊢((t∨r)∧((t∨r)∨r)),(r→(p→q))(p∨p)((s→p)∨s)((p→r)→((p∨r)∨r))
6866,((p∨q)(s∨t))⊢((p∨q)∨r),(s∨p)(p∨p)((∨∨p)∨))((r∨p)∨∨)
6867,((r∧q)(t→r))⊢((r∧q)→((r∧q)∨r)),(q∧p)(q→p)((p∧p)∨t)((s∧p)∧((p∧q)∨s))
6868,(((¬q)∨q)q)⊢(q∨p),((¬r)∨q)s((∨¬)(∨∨))
6869,(p(r∧t))⊢((r∧t)∨r),p(s∧t)((∨(t∧∨))((∧)∨)
6870,((¬s)(s∨q))⊢((¬s)→((s∨q)∨t)),(¬p)(p→s)((p∨s)∨s)((s∨s)∧((∨∨)∨∨)))
6871,(((r∨q)∧t)q)⊢((q∨q)∨s),((q∨p)∧t)s(s∨s)((p∨q)∨s)
6872,(p(r→(r∧p)))⊢(p∨q),q(r→(q∧p))(r∨()∨)
6873,(p(q∨(t→p)))⊢((q∨(t→p))→(p→(q∨(t→p)))),r(s∨(p∨q))(p∨(r∨(r∨r)))((s→(r∨p))∧(q∨(s∨(s→s))))
6874,(p(r→(t∧p)))⊢((r→(t∧p))∨q),q(r→(p∧p))(r∧((((q∧))))((∨(∧)
6875,((r→p)r)⊢(r∨r),(s→s)p((∨→))∨))
6876,((q∧s)t)⊢(q∧s),(r∧p)q((t∧r)∧
6877,((t∨s)p)⊢(p∨t),(s∨p)p((∨∨))∨)(
6878,((q∧p)(p∨r))⊢((p∨r)∨s),(q∧p)(p∨p)((∨∨p)∨))(()∨)
6879,(((q∨r)∨t)q)⊢(((q∨r)∨t)∨s),((q∨p)∨s)s(((t∨p)∨q)∨))(((q∨)∨)∨)
6880,(t(r∧q))⊢(s∨(r∧q)),p(s∧t)((∨(p∧t))(∨(∧))
6881,((q∨p)(¬r))⊢(¬r),(s∨q)(¬p)((s∨t)∧(¬p))(¬p)
6882,(r(s→t))⊢(r∨s),q(s→s)(q∨()→))(∨)
6883,((q∨(¬p))r)⊢((q∨(¬p))∨t),(s∨(¬q))s((∨∨(¬p))∨q)((∨(¬)∨)
6884,((t∧s)(¬p))⊢((¬p)∨s),(s∧q)(¬p)(((¬))∨))(¬
6885,((q∧p)r)⊢(p∨(q∧p)),(s∧s)s((∨(p∧∧))(∨()
6886,(((s∨t)∧p)(p∧q))⊢((p∧q)∨t),((q∨p)∧q)(s∧q)(((∧∧q)∨))∧
6887,((¬r)((p∧q)∨t))⊢((t∨(¬r))∨q),(¬p)((s→t)∨s)((∨(¬s))(((¬()∨))∨r)
6888,((q∧t)r)⊢((t∨r)∨t),(q∧s)q(t∨p)((t∨t)∨q)
6889,((r∨p)(p∨s))⊢(q∨(p∨(r∨p))),(q∨s)(p∨p)(t∨(p∨r))(s∨(p∨(p∨p)))
6890,((r∧(¬q))(q∧p))⊢((q∧p)∨s),(q∧(¬q))(q∧s)(((∧∧)∨∨))(∧
6891,((p∧(q∨r))(r∨s))⊢p,(r∧(p∧q))(q∧p))
6892,((¬r)((p∧q)∨t))⊢(t∨(¬r)),(¬p)((s→t)∨s)((∨(¬s))(∨(¬))
6893,(q(t∨(q∧r)))⊢(r∨q),q(r∨(r∧p))(r∨())
6894,((t∨p)(¬p))⊢((¬p)∧((¬p)∨p)),(s∨q)(¬p)((¬p)∨p)((¬p)∧((¬p)∨s))
6895,(t(s∧q))⊢((s∧q)→q),p(s∧t)t((t∧t)→p)
6896,(s(q→p))⊢((q→p)∨t),t(s→r)(t∨()→∨))((∨→))∨)
6897,((¬t)(¬r))⊢((¬r)→((¬r)∨t)),(¬s)(¬p)((¬p)∨p)((¬p)∧((¬p)∨s))
6898,((s→r)s)⊢((s→r)∧s),(s→s)s((t→r)∧s)
6899,((¬q)(¬p))⊢((¬q)∨p),(¬s)(¬p)((¬()∨))((¬)∨)
6900,((s→s)(r→r))⊢((s→s)∧(p∨(s→s))),(q→r)(s→p)(t∨(s→p))((t→s)∧(s∨(t→s)))
6901,((t∧q)r)⊢(r∨r),(r∧q)q((∨∨))
6902,(((r→t)→q)t)⊢(t∨t),((t→t)→q)s((∨r)()∨)
6903,(p((r→t)∨r))⊢(p→((r→t)∨r)),p((p→t)∨s)(q→((t→t)∨r))
6904,((r→t)(p∧r))⊢((r→t)∧p),(s→s)(s∧s)t((t→p)∧p)
6905,(((s∧q)∧p)q)⊢(q∧(q∨t)),((s∧p)∧p)s(s∨q)(q∧(q∨p))
6906,(r(s∧t))⊢(r∧t),q(r∧p)((∧∧r)
6907,(((s∧p)∧p)q)⊢(q∧(q∨p)),((s∧p)∧p)s(s∨q)(q∧(q∨p))
6908,(s((t→s)∧q))⊢(s∨t),q((q→p)∧p)((∨∨)(
6909,((q→(s→q))(s→t))⊢((s→t)∨r),(s→(p→q))(p→s)((s→()∨t))(→))
6910,(((q→r)∨q)s)⊢(r∨s),((t→p)∨s)s((∨r)()∨)
6911,(t(t∧p))⊢(t→(t∧p)),p(s∧r)(t→(r∧p))
6912,((p∧s)p)⊢(p→(p∨t)),(s∧s)p(p∨p)(q→(q∨q))
6913,((r→(t∨p))s)⊢(s∧(r∨s)),(t→(p∨s))s(s∨r)(s∧(t∨s))
6914,(t(s∧(p∨r)))⊢((t∨s)∨s),p(r∧(p∨s))(s∨p)((q∨q)∨s)
6915,(r((q→p)∨s))⊢(q∨r),p((q→t)∨s)(s∨()(→∨))
6916,(r((s∨p)∧p))⊢(r∨s),q((q∨p)∧p)((∨∨)
6917,(r(q∨q))⊢(r∨r),q(s∨r)(r∧()∨))(∨)
6918,((r→(¬t))q)⊢((r→(¬t))∧q),(s∧(¬q))s((s∧(¬p))∧∧)
6919,((¬q)(p∧q))⊢((¬q)∨t),(¬p)(q∧t)(((¬))∨))(
6920,((q→(s∨s))q)⊢((q→(s∨s))→(s∨s)),(t→(p∨q))s(t∨r)((s∨(t∨s))→(t∨s))
6921,(q(r→(¬s)))⊢(q∨t),q(s→(¬q))(r∨()((¬)
6922,(r(q∨q))⊢(t∨(t∨r)),q(s∨r)(t∨()(t∨((∨∨))
6923,((s∨(p∧p))t)⊢((s∨(p∧p))→t),(s∨(p∧q))s((t∨(r∧p))→p)
6924,(((t∨s)∨t)r)⊢(r∨r),((q∨p)∨s)s((∨r)(∨∨)
6925,((s∨p)(s∧r))⊢((s∧r)→((s∨p)→(s∧r))),(q∨p)(s→p)((p→r)→(q→p))((s→s)∧((p∨p)→(t→t)))
6926,(((s∧s)→t)r)⊢(((s∧s)→t)∧r),((s∧p)→q)s(((t∧t)→t)∧s)
6927,(r(s→s))⊢((s→s)→((s→s)∨q)),t(s→s)((p→p)∨s)((s→p)∧((s→s)∨s))
6928,(q(q∨p))⊢(q→(q∨p)),t(s∨r)(t∨p)(r→(q∨p))
6929,(q(r→(q∧p)))⊢(q∨q),q(r→(q∧p))(r∨()∨)
6930,(((s∨r)→r)p)⊢(t∨p),((q∨p)→r)s((∨r)()∨)
6931,((p∨q)(t→(¬q)))⊢((t→(¬q))→((p∨q)→(t→(¬q)))),(s∨q)(s∧(¬p))((¬∨()(()((¬q)))((¬(¬))))∧((¬()¬(¬∧())))))
6932,(r((q→r)∧t))⊢(((q→r)∧t)→t),q((q→t)∧q)r(((t→t)∧t)→s)
6933,(q((s∧p)∧q))⊢((q∨q)∨t),q((s∧p)∧p)(s∨p)((q∨p)∨t)
6934,(t(s∨r))⊢(r∨(t∨t)),q(s∨r)(t∨()(t∨((∨∨))
6935,((r∨t)(r∧r))⊢(r∨t),(q∨q)(p∧p)((s∨p)
6936,((¬p)(q∨q))⊢((¬p)∧((¬p)∨r)),(¬p)(t∨s)((¬p)∨t)((¬p)∧((¬p)∨s))
6937,(r(r∧t))⊢((p∨r)∨t),t(s∧p)(t∨p)((p∨q)∨q)
6938,(p((s→t)∨q))⊢(p∨q),p((q→t)∨s)(s∨()(→∨))
6939,(r(r∨r))⊢(q∨(r∨r)),t(s∨r)(t∨()(t∨((∨∨))
6940,((q∨(r∧t))r)⊢((p∨r)∨s),(s∨(r∧p))s(t∨p)((q∨q)∨s)
6941,((¬q)((¬r)→q))⊢(((¬r)→q)∨r),(¬s)((¬p)→s)((∨(¬r))((¬)))))∨)
6942,(p(r→s))⊢(s∨p),q(t→s)(q∨()→))(∨)
6943,(((q∨r)∨s)q)⊢(r∨(q∨q)),((q∨p)∨s)s(t∨s)(t∨(t∨s))
6944,((t∧s)p)⊢(t∨(t∧s)),(s∧s)s((∨(()∧))(∨()
6945,(p((q∨s)→r))⊢((p∨s)∨s),q((q∨p)→p)(s∨p)((q∨t)∨s)
6946,(((s→p)∧p)(p∧r))⊢(r∨(p∧r)),((p→t)∧q)(s∧q)((∨((∧∧)))
6947,((s∨q)(t→p))⊢((t→p)∨p),(q∨s)(p→p)((∨→p)∨))((r→p)∨p)
6948,((q∧(t∧r))((t→p)∨q))⊢(q∨s),(r∧(p∧q))((p∧q)∧t)s(s∨s)
6949,((¬r)(t→q))⊢(s∨(¬r)),(¬s)(p→p)((∨(¬→)))∨()
6950,(q(t∨t))⊢(q∨s),q(s∨r)(r∧()∨))(∨)
6951,(q(p→p))⊢(q∨r),q(s→p)(t∨()→))(∨)
6952,((s∨q)p)⊢((s∨q)→p),(p∨p)s((t∨p)→p)
6953,((s∧(q∨r))((t∧p)∧r))⊢(((t∧p)∧r)∨s),(r∧(p∧q))((p∧s)∧t)(((∧(((∧∧))∨))∧
6954,((r∧r)t)⊢((r∧r)∨t),(q∧p)q((t∧p)∨r)(()∨)
6955,((r∨q)r)⊢(r→(r∨s)),(t∨p)p(p∨p)(q→(p∨p))
6956,(r(q∨p))⊢(r∨r),q(s∨r)(r∧()∨))(∨)
6957,(p(r∨t))⊢(p∧(r∨t)),t(s∨r)(t∨p)(r∧(q∨p))
6958,((r∧p)q)⊢((r∧p)→r),(p∧s)qt((p∧t)→q)
6959,((¬p)((q→q)∧r))⊢((¬p)→((¬p)∨t)),(¬p)((s→t)∧p)((¬p)∨s)((¬p)→((¬p)∨r))
6960,((q∧(t→t))q)⊢(q→(t∨q)),(r∧(p→s))s(t∨s)(t→(q∨p))
6961,((s∧p)((s∨t)→s))⊢((s∧p)∧((s∨t)→s)),(q∧p)((p→t)→t)((s∧r)∧((p→s)→s))
6962,(p(p∧q))⊢((p∧q)→q),p(s∧t)t((t∧t)→p)
6963,((p∨r)p)⊢(p∨r),(s∨p)p((∨∨))∨)(
6964,(t((s→q)→p))⊢(p∨t),q((q→p)→r)(s∨()(→∨))
6965,((¬q)(s→(r→t)))⊢(s→(r→t)),(¬s)(s∨(r→s))((¬p)∧(s→(s→s)))((→(r→s))
6966,((¬s)(p∧(¬s)))⊢(s∨(p∧(¬s))),(¬s)(s∧(¬s))(p∨(¬p))()∨)(¬))
6967,((¬q)(r→q))⊢((r→q)∨t),(¬p)(p→s)((∨())∨))((→→)∨)
6968,(((r→q)∨s)t)⊢(t∨r),((t→p)∨s)s((∨r)()∨)
6969,(((p∨p)∧s)s)⊢((p∨p)∨q),((q∨p)∧t)s(s∨s)((p∨q)∨s)
6970,((s∨r)(¬s))⊢((¬s)→((¬s)∨t)),(s∨q)(¬p)((¬p)∨p)((¬p)∧((¬p)∨s))
6971,((p∧q)(¬p))⊢((¬p)∧q),(p∧q)(¬p)p((¬p)∧p)
6972,((t∨r)(p∨s))⊢((t∨r)∨t),(s∨p)(p∨p)((∨∨p)∨))((r∨p)∨∨)
6973,((q∧s)(r∧s))⊢((r∧s)∧((r∧s)∨t)),(q∧p)(q∧p)((p∧p)∨t)((s∧p)∧((p∧q)∨s))
6974,(p((p∧t)∧s))⊢(p∧s),q((s∧p)∧p)r(q∧p)
6975,((s∧p)(q∧r))⊢q,(p∧p)(t∧s)s
6976,(s(t∧(t∨t)))⊢(s∧t),r(r∧(p∨s))t(q∧s)
6977,((r∧(p∧q))t)⊢(t∨r),(r∧(p∧t))s((∨∨))
6978,(((p∧q)∨s)t)⊢(t→(r∨t)),((s∧p)∨s)s(s∨s)(t→(t∨q))
6979,(q((¬t)→t))⊢(q→(q∨t)),q((¬r)→s)(q∨p)(q→(q∨q))
6980,(((¬p)∧q)q)⊢(q∨r),((¬r)∧q)s((∨∨))
6981,(r(r∨q))⊢((r∨q)→((r∨q)∨r)),t(s∨s)((p∨p)∨s)((t∨s)→((p∨p)∨s))
6982,(p(r∧t))⊢((r∧t)∨q),p(s∧t)((∨(t∧∨))((∧)∨)
6983,(((s∧s)∧r)s)⊢(s∧(((s∧s)∧r)∧s)),((s∧r)∧q)s(((s∧s)∧r)∧t)(s∧(((q∧q)∧p)∧p))
6984,(s(¬r))⊢(s→(t∨s)),r(¬s)(s∨p)(s→(p∨p))
6985,(q((q→r)∧t))⊢(((q→r)∧t)∨t),q((s→t)∧t)((∨()((()→p)∧()∨r)
6986,((r∨q)r)⊢((r∨q)→r),(p∨p)s((t∨p)→p)
6987,(((t∧s)∧q)((q→q)∨r))⊢(((t∧s)∧q)→((q→q)∨r)),((p∧p)∨q)((p∧t)∨t)(((s∧r)∨p)→((p∨p)∨s))
6988,((q∧(¬t))(q∨s))⊢(q∧(¬t)),(q∨(¬q))(p∧s)((s∨(¬q))∧(q∧s))(s∧(¬q))
6989,((r∨(t∨p))(p∨q))⊢((p∨q)∨r),(s∨(p∨q))(p→s)((∨∨()∨p)(()∨)
6990,((p→s)(t∧r))⊢((p→s)→(t∧r)),(s→s)(p∧q)((s→p)→(r∧s))
6991,((r∨s)(s∨t))⊢(s∨(r∨s)),(s∨p)(p∨p)((∨(p∨∨))(∨(p∨p))
6992,(p(p∧(r∨s)))⊢(s∨p),p(r∧(p∨s))((∨∨))
6993,((p∨t)q)⊢(q→((p∨t)∧q)),(t∨p)p((p∨s)∧t)(t∧((t∨s)∧q))
6994,((t→(s∧q))((p∧t)∧r))⊢t,(r→(p∧s))((p∧q)∧q)s
6995,(r((r∨p)→p))⊢((t∨r)∨q),q((q∨p)→s)(s∨p)((q∨p)∨s)
6996,((t∨(t→t))p)⊢(q∨p),(t∨(p→p))s((∨∨)(∨))
6997,((t∨r)t)⊢(p∨t),(s∨p)p((∨∨))))
6998,((r∨r)q)⊢(p∨(r∨r)),(t∨p)p(p∨()(t∨((∨∨))
6999,((r→p)((¬q)∨t))⊢(p∨(r→p)),(s→q)((¬r)∨s)((∨(s)s)))∨(∨
7000,((¬q)(s→r))⊢(((¬q)∧(s→r))∨q),(¬p)(s→s)((¬r)∧(¬∧t))(((¬s)∧((∨()∧))))
7001,((t∧(q∧p))t)⊢((t∧(q∧p))∨r),(q∧(p∧q))s((t∧((∧p))∨q))((∧
7002,((q∨(r→r))(¬q))⊢((q∨(r→r))∧(¬q)),(s∨(q→q))(¬q)((s→(q∨s))∧(¬q))
7003,(t((¬t)∧r))⊢((¬t)∧r),q((¬s)∧s)((∧((¬p)∧∧))((¬p)∧p)
7004,((q∧s)t)⊢(q∨q),(s∧s)q((∨∨))
7005,(s(q∨q))⊢(s∨q),q(s∨r)(r∧()∨))(∨)
7006,(((t∧p)∧p)r)⊢(r→(r∨t)),((s∧p)∧p)s(p∨p)(q→(q∨q))
7007,((t∨s)s)⊢(s∨s),(s∨p)p((∨∨))))
7008,((r∧(r→t))((p∧p)∧q))⊢((r∧(r→t))→((p∧p)∧q)),(r∧(p∧q))((p∧s)∧t)((s∧(p∧s))→((p∧s)∧s))
7009,(q(q→q))⊢(q∨q),q(t→s)(q∨()→))(∨)
7010,(p(t→r))⊢((p∨s)∨r),t(s→p)(t∨p)((t∨t)∨s)
7011,(((t→t)∧q)(¬r))⊢((¬r)∧q),((s→q)∧q)(¬q)q((¬q)∧q)
7012,(q((¬t)∧p))⊢((¬t)∧p),q((¬s)∧s)((∧((¬p)∧∧))((¬p)∧p)
7013,(q(p∧q))⊢(p∨r),q(s∧p)((∨∨))
7014,(s(t∧(r∧t)))⊢(s∨p),q(r∧(p∧p))((∨∨))
7015,((q∨(p→q))(s→q))⊢((s→q)→((s→q)∨q)),(s∨(p→q))(p∧s)((s∧p)∨s)((s∧r)→((p∧p)∨s))
7016,(((r∨p)→r)q)⊢(s∨((r∨p)→r)),((q∨p)→s)s((((∨r)→))∨))(∨((∨)→))
7017,((s→p)t)⊢((s→p)∨s),(s→s)s((t→))∨t)((→)∨)
7018,(s(p∨r))⊢(r∨s),q(s∨r)(r∧()∨))(∨)
7019,(p(t∨t))⊢(s∨(q∨p)),q(s∨r)(t∨()(t∨((∨∨))
7020,(r(r∧t))⊢(((r∧t)∨s)∨s),p(q∧p)((p∧p)∨q)(((q∧q)∨t)∨t)
7021,((r∨p)q)⊢((r∨p)∨q),(t∨q)q((∨∨)((t∨()∨∨)
7022,((p∨s)(q∧s))⊢((p∨s)→s),(q∨q)(p∧s)q((t∨p)→q)
7023,((t∧r)(¬s))⊢((t∧r)→t),(p∧q)(¬q)q((p∧q)→q)
7024,((t∨t)(p∨t))⊢((p∨t)∨s),(s∨p)(p∨p)((∨∨p)∨))((r∨p)∨∨)
7025,((q∧(p∨q))s)⊢((q∧(p∨q))∨p),(r∧(p∨s))s((∨∧(((s))∨∨)))∨∧)
7026,((r→s)(p∧s))⊢((r→s)∨s),(s→s)(s∧s)((∨→s)∨))(()∨)
7027,((¬q)(t∧p))⊢((t∧p)∧t),(¬p)(p∧t)q((p∧q)∧q)
7028,((r∧(s∨s))((p∧r)∧q))⊢(s∨s),(r∧(p∨q))((p∧q)∧t)s(s∨s)
7029,(t((s∧p)∨q))⊢(((s∧p)∨q)∨q),p((p∧t)∨s)((∨((p∧()∨∨))(((r∧)∨)∨)
7030,((¬t)(p∨s))⊢(p∨s),(¬p)(s∨s)((¬p)∧(s∨p))(s∨p)
7031,((t→s)(p∨r))⊢((p∨r)∨p),(q→r)(p∨p)((∨∨p)∨))((r∨p)∨)
7032,((q∧p)(p∨r))⊢((p∨r)∨r),(q∧p)(p∨p)((∨∨p)∨))(()∨)
7033,(t(r∧q))⊢(p∨(q∨t)),t(s∧p)(p∨p)(t∨(q∨q))
7034,((p∧r)(t→(t→r)))⊢(s∨(p∧r)),(s∧p)(s∧(r∧p))((∨((∧∧)))
7035,((¬p)((q→q)∧r))⊢(((q→q)∧r)∧r),(¬p)((s→s)∧r)s(((t→()∧p)→p)
7036,((¬t)((r→t)∨r))⊢(t∨(¬t)),(¬p)((s→t)∨s)(s∨(¬s))(∨(¬))
7037,(((p→t)→t)r)⊢(r∧(q∨r)),((t→t)→p)s(s∨p)(q∧(q∨p))
7038,((p→s)(t∧r))⊢((p→s)→r),(s→s)(s∧s)t((t→t)→q)
7039,(s(r∧s))⊢(q∨s),q(s∧p)((∨∨))
7040,((s→t)(r∧s))⊢((s→t)∧(r∧s)),(s→s)(p∧q)((t→p)∧(t∧p))
7041,(t((r→p)→s))⊢((r→p)→s),q((q→t)→s)(q∧((t→q)→s))((q→p)→s)
7042,((q∧t)t)⊢((q∧t)→q),(t∧s)qt((p∧t)→q)
7043,(((t∨q)→p)t)⊢(t∨p),((q∨p)→r)s((∨r)()∨)
7044,((s∨r)t)⊢(s∨t),(s∨p)p((∨∨))))
7045,((q∨t)r)⊢((q∨t)→(q∨(q∨t))),(q∨p)p(t∨(t∨p))((t∨s)∧(t∨(t∨s)))
7046,(s(s→s))⊢(t∨(s→s)),t(s→r)(t∨(s→p))(∨(→))
7047,((¬q)(p∧q))⊢((¬q)∧((¬q)→(p∧q))),(¬p)(s∧s)((¬s)→(¬∨s))((¬q)∧((¬q)∧(¬))))
7048,((r∨p)(r∨(q→q)))⊢((r∨p)∨q),(s∨p)(s→(r∧p))((∨∨r)∨t)((t∨)∨)
7049,(s(p∧(r→p)))⊢(t∨(p∧(r→p))),p(r∧(p→p))(r∨()∧(∨(t)))())
7050,((r→s)(q∧q))⊢((q∧q)∧q),(s→s)(s∧t)t((p∧p)∧p)
7051,((t∧(¬q))r)⊢(q∨r),(s∧(¬q))s((∨∨)(
